ID,Plot,Treatment,Block,Replicate,P,N,K,Collection,Type,Bottle,Date_collected,Coord_x,Coord_y,LAI,Volume_mL,Rain_cm,PO4_ppm,NH4_ppm,NO3_ppm,N_ppm,K_ppm,Ca_ppm,Mg_ppm,Na_ppm,P_total_ppm,PO4.dep,NH4.dep,NO3.dep,N.dep,K.dep,Ca.dep,Mg.dep,Na.dep,P.total.dep,PO4.rain,NH4.rain,NO3.rain,K.rain
4-25,9,NK,1,2,FALSE,TRUE,TRUE,4,Tfall,25,2018-07-13,280,170,5.6238,95,1.31700554528651,0.08953471423,0.130641625,0.175119,0.305760625,1.14,NA,NA,NA,NA,1.04815746788047,1.52938439617991,2.05006839186691,3.57945278804683,13.3456561922366,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-26,9,NK,1,2,FALSE,TRUE,TRUE,4,Tfall,26,2018-07-13,290,170,9.3074,50,1.31700554528651,0.024714745705,0.1198536,0.18026845,0.30012205000000003,0.11,NA,NA,NA,NA,0.152278162076402,0.738469500924214,1.11071133703019,1.84918083795441,0.677757239679606,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-30,10,NK,2,1,FALSE,TRUE,TRUE,4,Tfall,30,2018-07-13,40,225,2.8999,170,1.31700554528651,0.050760826610000004,0.027822375,0.20554785,0.23337022500000001,0.0490695,NA,NA,NA,NA,1.06338145701787,0.582847042513863,4.30599316081331,4.88884020332717,1.02795009242144,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-31,11,N,2,2,FALSE,TRUE,FALSE,4,Tfall,31,2018-07-13,115,225,11.108,110,1.31700554528651,0.05342341888,0.13636859999999998,0.23457225,0.37094085,0.67,NA,NA,NA,NA,0.724162178287123,1.84849611829945,3.17966081330869,5.02815693160813,9.08194701170672,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-32,11,N,2,2,FALSE,TRUE,FALSE,4,Tfall,32,2018-07-13,130,235,15.984,40,1.31700554528651,0.20818621368999998,0.83186375,0.4584973,1.29036105,NA,NA,NA,NA,NA,1.02617973476278,4.10037584719655,2.25999901417129,6.36037486136784,NA,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-34,12,C,1,2,FALSE,FALSE,FALSE,4,Tfall,34,2018-07-13,315,265,9.2331,140,1.31700554528651,0.07955001275,0.232262225,0.13922855,0.371490775,3.54,NA,NA,NA,NA,1.37239701601972,4.00698847812692,2.40197128773876,6.40895976586568,61.0720887245841,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-35,12,C,1,2,FALSE,FALSE,FALSE,4,Tfall,35,2018-07-13,305,265,4.5937,110,1.31700554528651,0.093528602635,0.25370509999999996,0.2013346,0.4550397,2.06,NA,NA,NA,NA,1.26779375105977,3.43900936537277,2.72911965495995,6.16812902033272,27.9235982747998,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-36,12,C,1,2,FALSE,FALSE,FALSE,4,Tfall,36,2018-07-13,310,250,5.5974,140,1.31700554528651,0.056252388985000006,0.11119652499999999,0.21288195,0.32407847500000003,0.31,NA,NA,NA,NA,0.97046635340727,1.91836272335182,3.67263992606285,5.59100264941466,5.34812076401725,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-37,13,PK,1,2,TRUE,FALSE,TRUE,4,Tfall,37,2018-07-13,190,290,9.617,110,1.31700554528651,1.9953280834499998,0.16993135,0.0588652,0.22879655,8.26,NA,NA,NA,NA,27.0469610818854,2.30344405422058,0.797926309303759,3.10137036352434,111.965495995071,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-38,13,PK,1,2,TRUE,FALSE,TRUE,4,Tfall,38,2018-07-13,205,275,7.8493,85,1.31700554528651,0.098687370275,0.228799375,0.085705,0.314504375,1.02,NA,NA,NA,NA,1.03369395851818,2.39654305298829,0.897711028958718,3.29425408194701,10.6839186691312,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-39,13,PK,1,2,TRUE,FALSE,TRUE,4,Tfall,39,2018-07-13,180,275,11.342,130,1.31700554528651,0.24446392594,0.116257575,0.06401470000000001,0.180272275,2.43,NA,NA,NA,NA,3.91624280618607,1.86241340110906,1.02549735058534,2.88791075169439,38.9279112754159,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-4,2,K,1,1,FALSE,FALSE,TRUE,4,Tfall,4,2018-07-13,285,15,11.618,170,1.31700554528651,0.077220293345,0.22440427500000001,0.1607628,0.385167075,2.44,NA,NA,NA,NA,1.61767712491066,4.70101377079482,3.36779741219963,8.06881118299446,51.1152187307455,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-40,14,P,2,2,TRUE,FALSE,FALSE,4,Tfall,40,2018-07-13,85,300,7.8856,110,1.31700554528651,0.12464758630999999,0.177256575,0.13719995000000001,0.314456525,0.9,NA,NA,NA,NA,1.68961608060382,2.40273853974122,1.8597651879236,4.26250372766482,12.1996303142329,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-41,14,P,2,2,TRUE,FALSE,FALSE,4,Tfall,41,2018-07-13,60,295,12.062,100,1.31700554528651,0.270756975775,0.201363175,0.18573009999999998,0.387093275,1.03,NA,NA,NA,NA,3.33650000955022,2.48136999383857,2.2887258163894,4.77009581022797,12.6925446703635,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-42,14,P,2,2,TRUE,FALSE,FALSE,4,Tfall,42,2018-07-13,85,290,7.4779,80,1.31700554528651,0.19603817064,0.2250702,0.1273691,0.3524393,0.77,NA,NA,NA,NA,1.93260057316081,2.21880665434381,1.25564115834874,3.47444781269254,7.59088108441158,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-43,15,NP,1,2,TRUE,TRUE,FALSE,4,Tfall,43,2018-07-13,260,325,12.51,90,1.31700554528651,0.541675094675,0.94746875,0.1861982,1.13366695,7.67,NA,NA,NA,NA,6.00748718678373,10.5079713493531,2.06504473197782,12.5730160813309,85.0646950092421,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-44,15,NP,1,2,TRUE,TRUE,FALSE,4,Tfall,44,2018-07-13,265,350,9.2665,220,1.31700554528651,0.14361848787,0.15394912500000002,0.1176943,0.271643425,0.25,NA,NA,NA,NA,3.89353879622921,4.17360536044362,3.19072655576094,7.36433191620456,6.77757239679606,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-45,15,NP,1,2,TRUE,TRUE,FALSE,4,Tfall,45,2018-07-13,250,330,7.4291,140,1.31700554528651,0.2637676613,0.24664629999999998,0.30526074999999997,0.5519070500000001,1.31,NA,NA,NA,NA,4.55052034282193,4.25514257547751,5.26635921133703,9.52150178681454,22.600123228589,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-49,17,NPK,2,2,TRUE,TRUE,TRUE,4,Tfall,49,2018-07-13,160,370,9.752,50,1.31700554528651,0.5158812564749999,0.452817525,0.34349189999999996,0.796309425,5.19,NA,NA,NA,NA,3.17856596719039,2.79000323475046,2.1164011090573,4.90640434380776,31.9778188539741,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-50,17,NPK,2,2,TRUE,TRUE,TRUE,4,Tfall,50,2018-07-13,150,370,11.591,55,1.31700554528651,0.257111180625,0.2519737,0.22630185,0.47827555,1.41,NA,NA,NA,NA,1.74258964071165,1.70776999383857,1.53377717190388,3.24154716574245,9.55637707948244,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-53,18,K,2,2,FALSE,FALSE,TRUE,4,Tfall,53,2018-07-13,100,375,3.4323,135,1.31700554528651,0.107673570355,0.262228975,0.3617492,0.623978175,8.74,NA,NA,NA,NA,1.79124239037893,4.36240439001848,6.01800887245841,10.3804132624769,145.39741219963,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-54,18,K,2,2,FALSE,FALSE,TRUE,4,Tfall,54,2018-07-13,90,380,6.1567,115,1.31700554528651,0.048098195275000005,0.11572482499999999,0.14749895000000002,0.263223775,7.1,NA,NA,NA,NA,0.68161336495687,1.63996979359211,2.09025006161429,3.73021985520641,100.616142945163,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-55,19,K,1,3,FALSE,FALSE,TRUE,4,Tfall,55,2018-07-13,270,420,1.3477,100,1.31700554528651,0.039444828995,0.085758075,0.23769315,0.323451225,5.85,NA,NA,NA,NA,0.486073062168823,1.05678465804067,2.92905914972274,3.9858438077634,72.0887245841035,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-56,19,K,1,3,FALSE,FALSE,TRUE,4,Tfall,56,2018-07-13,245,430,4.1241,145,1.31700554528651,0.05758368512,0.22187375,0.32148944999999995,0.5433632,5.37,NA,NA,NA,NA,1.02891365895256,3.9644724276032,5.74442024029575,9.70889266789895,95.9519408502773,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-57,19,K,1,3,FALSE,FALSE,TRUE,4,Tfall,57,2018-07-13,255,430,5.7713,225,1.31700554528651,0.079882807485,0.175392,0.19914995,0.37454195,5.73,NA,NA,NA,NA,2.21486527222736,4.86299445471349,5.52171765249538,10.3847121072089,158.872458410351,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-58,20,NPK,1,3,TRUE,TRUE,TRUE,4,Tfall,58,2018-07-13,325,420,7.5138,125,1.31700554528651,0.12914068635,0.116390775,0.1571738,0.273564575,4.73,NA,NA,NA,NA,1.9892280707024,1.79283387245841,2.4210382008626,4.21387207332101,72.8589032655576,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-59,20,NPK,1,3,TRUE,TRUE,TRUE,4,Tfall,59,2018-07-13,325,425,6.472,90,1.31700554528651,0.09652398964,0.0707081,0.1197229,0.19043100000000002,4.45,NA,NA,NA,NA,1.07050635460259,0.784193345656192,1.32779556377079,2.11198890942699,49.3530499075786,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-60,20,NPK,1,3,TRUE,TRUE,TRUE,4,Tfall,60,2018-07-13,350,405,8.273,100,1.31700554528651,0.13363378639,0.19337205,0.15233635,0.34570839999999997,4.94,NA,NA,NA,NA,1.6467502943931,2.38289648798521,1.87721934688848,4.26011583487369,60.8749229821318,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-61,21,PK,2,3,TRUE,FALSE,TRUE,4,Tfall,61,2018-07-12,185,435,5.8373,150,1.31700554528651,0.33599033013,0.1578115,0.1656002,0.32341169999999997,3.61,NA,NA,NA,NA,6.21054214658041,2.91703327171904,3.06100184842884,5.97803512014787,66.728280961183,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-62,21,PK,2,3,TRUE,FALSE,TRUE,4,Tfall,62,2018-07-12,180,445,7.7793,90,1.31700554528651,0.370770329345,0.22733435,0.1287735,0.35610785,3.76,NA,NA,NA,NA,4.11205540863216,2.52126820702403,1.4281719038817,3.94944011090573,41.7005545286506,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-63,21,PK,2,3,TRUE,FALSE,TRUE,4,Tfall,63,2018-07-12,185,425,9.1836,100,1.31700554528651,0.33482545089500004,0.3285554,0.17886405,0.50741945,4.45,NA,NA,NA,NA,4.12600678860136,4.04874183610598,2.20411645101664,6.25285828712261,54.8367221195317,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-64,22,NP,2,3,TRUE,TRUE,FALSE,4,Tfall,64,2018-07-12,75,480,6.9153,110,1.31700554528651,0.192210699135,0.178721625,0.26968245,0.44840407499999996,2.47,NA,NA,NA,NA,2.6054438576525,2.42259750462107,3.65558465804067,6.07818216266174,33.4812076401725,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-65,22,NP,2,3,TRUE,TRUE,FALSE,4,Tfall,65,2018-07-12,95,500,7.9769,85,1.31700554528651,1.62423011595,0.318300125,0.25969549999999997,0.577995625,8.89,NA,NA,NA,NA,17.0128847634935,3.33401239987677,2.72016235366605,6.05417475354282,93.1176833025262,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-66,22,NP,2,3,TRUE,TRUE,FALSE,4,Tfall,66,2018-07-12,80,475,9.011,180,1.31700554528651,0.132968157855,0.162472975,0.18011245,0.342585425,6.15,NA,NA,NA,NA,2.94938612617375,3.60383678373383,3.99510055452865,7.59893733826248,136.41404805915,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-67,23,N,1,3,FALSE,TRUE,FALSE,4,Tfall,67,2018-07-13,265,500,11.86,60,1.31700554528651,0.12181857714000001,0.5131505,0.27826490000000004,0.7914154,6.1,NA,NA,NA,NA,0.900691882735675,3.7940887245841,2.05741146025878,5.85150018484288,45.1016635859519,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-69,23,N,1,3,FALSE,TRUE,FALSE,4,Tfall,69,2018-07-13,270,510,17.554,115,1.31700554528651,0.12131932644,0.290064775,0.2008665,0.490931275,7.99,NA,NA,NA,NA,1.71925108325323,4.11059138940234,2.84653696857671,6.95712835797905,113.228589032656,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-7,3,NP,2,1,TRUE,TRUE,FALSE,4,Tfall,7,2018-07-13,105,95,0.11443,105,1.31700554528651,0.04976232521,0.150486275,0.25782299999999997,0.408309275,0.0490695,NA,NA,NA,NA,0.643874817874307,1.94714219038817,3.33597227356747,5.28311446395564,0.634910351201479,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-70,24,P,1,3,TRUE,FALSE,FALSE,4,Tfall,70,2018-07-13,325,500,17.264,130,1.31700554528651,0.576288716055,0.187511875,0.2258337,0.413345575,NA,NA,NA,NA,NA,9.23198189613678,3.0038870918053,3.61779186691312,6.62167895871842,NA,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
1-1,1,P,1,1,TRUE,FALSE,FALSE,1,Tfall,1,2018-06-25,205,35,8.5375,380,5.21439979050264,0.090124166015,0.0314501,0.004615,0.0360651,NA,NA,NA,NA,NA,4.22023204999384,1.47270955021565,0.216105976586568,1.68881552680222,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-10,4,N,1,1,FALSE,TRUE,FALSE,1,Tfall,10,2018-06-25,195,115,8.672,280,5.21439979050264,0.03829534137,0.0276079,0.004615,0.032222900000000006,NA,NA,NA,NA,NA,1.32134264739372,0.952583117683303,0.159235982747998,1.1118191004313,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-11,4,N,1,1,FALSE,TRUE,FALSE,1,Tfall,11,2018-06-25,190,95,2.4862,440,5.21439979050264,0.01029776839,0.02071845,0.021565550000000003,0.042284,NA,NA,NA,NA,NA,0.558350966309304,1.12336635859519,1.1692966112138,2.292662969809,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-12,4,N,1,1,FALSE,TRUE,FALSE,1,Tfall,12,2018-06-25,215,105,7.8704,610,5.21439979050264,0.14295293746499999,0.03489485,0.004615,0.03950985,NA,NA,NA,NA,NA,10.7456921569501,2.62302630930376,0.34690696241528,2.96993327171904,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-13,5,NPK,1,1,TRUE,TRUE,TRUE,1,Tfall,13,2018-06-25,295,105,6.1036,390,5.21439979050264,0.028296185839999998,0.02111595,0.0424621,0.06357805,NA,NA,NA,NA,NA,1.35989063186691,1.0148146025878,2.04069242144177,3.05550702402957,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-14,5,NPK,1,1,TRUE,TRUE,TRUE,1,Tfall,14,2018-06-25,280,105,7.384,540,5.21439979050264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-15,5,NPK,1,1,TRUE,TRUE,TRUE,1,Tfall,15,2018-06-25,280,115,16.619,310,5.21439979050264,0.16245125558999998,0.0428442,0.0217049,0.0645491,NA,NA,NA,NA,NA,6.20577809401109,1.6366853974122,0.829145902649415,2.46583130006161,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-16,6,C,2,1,FALSE,FALSE,FALSE,1,Tfall,16,2018-06-25,60,155,2.8492,560,5.21439979050264,0.018963674535,0.03330495,0.06934895,0.10265389999999999,NA,NA,NA,NA,NA,1.30864543926063,2.29830831792976,4.78563302526186,7.08394134319162,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-17,6,C,2,1,FALSE,FALSE,FALSE,1,Tfall,17,2018-06-25,65,125,6.9972,580,5.21439979050264,0.04879437264,0.036352249999999996,0.004615,0.04096725,NA,NA,NA,NA,NA,3.48745978203327,2.59818915588416,0.329845964263709,2.92803512014787,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-18,6,C,2,1,FALSE,FALSE,FALSE,1,Tfall,18,2018-06-25,50,155,3.8568,340,5.21439979050264,0.01929693805,0.019791049999999998,0.05291035,0.07270140000000001,NA,NA,NA,NA,NA,0.808497712507702,0.829199876771411,2.21682304374615,3.04602292051756,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-19,7,PK,2,1,TRUE,FALSE,TRUE,1,Tfall,19,2018-06-25,120,150,9.3551,180,5.21439979050264,0.07629199175,0.0204535,0.06990615,0.09035965,NA,NA,NA,NA,NA,1.69224380961183,0.453682070240296,1.55059852125693,2.00428059149723,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-2,1,P,1,1,TRUE,FALSE,FALSE,1,Tfall,2,2018-06-25,185,30,1.9816,520,5.21439979050264,0.028962790999999998,0.034232399999999996,0.08230475,0.11653714999999999,NA,NA,NA,NA,NA,1.8559028120764,2.19357338262477,5.27399507085644,7.46756845348121,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-20,7,PK,2,1,TRUE,FALSE,TRUE,1,Tfall,20,2018-06-25,130,160,6.3957,220,5.21439979050264,0.06779277596,0.032775,0.019420000000000003,0.052195,NA,NA,NA,NA,NA,1.8378817881947,0.888539741219963,0.526481823783118,1.41502156500308,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-21,7,PK,2,1,TRUE,FALSE,TRUE,1,Tfall,21,2018-06-25,125,150,7.9611,550,5.21439979050264,0.14095308292000003,0.02972775,0.0646124,0.09434015,NA,NA,NA,NA,NA,9.55319724041898,2.01481977818854,4.37915218730745,6.39397196549599,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-22,Rain 2,Rain,NA,NA,Rain,Rain,Rain,1,Rain,22,2018-06-25,90,105,0.014104,450,5.21439979050264,0.02412990359,0.0445666,0.07115995,0.11572655,NA,NA,NA,NA,NA,1.33807228780037,2.47134565619224,3.94602310536044,6.41736876155268,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-23,Rain 2,Rain,NA,NA,Rain,Rain,Rain,1,Rain,23,2018-06-25,95,110,0.15048,420,5.21439979050264,0.01546395838,0.0228383,0.0703241,0.0931624,NA,NA,NA,NA,NA,0.800352744251386,1.18201922365989,3.63969463955638,4.82171386321627,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-24,Rain 2,Rain,NA,NA,Rain,Rain,Rain,1,Rain,24,2018-06-25,95,105,0,450,5.21439979050264,0.01046441968,0.022705850000000003,0.08216545,0.1048713,NA,NA,NA,NA,NA,0.580282052495379,1.25910443622921,4.55630961182994,5.81541404805915,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-25,9,NK,1,2,FALSE,TRUE,TRUE,1,Tfall,25,2018-06-25,285,185,9.804,340,5.21439979050264,0.02479650875,0.0188636,0.01794355,0.03680715,NA,NA,NA,NA,NA,1.03891718730746,0.790341836105977,0.751793838570548,1.54213567467652,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-26,9,NK,1,2,FALSE,TRUE,TRUE,1,Tfall,26,2018-06-25,280,180,11.344,160,5.21439979050264,0.03662875034,0.03873705,0.02281935,0.0615564,NA,NA,NA,NA,NA,0.722193475588417,0.763761922365989,0.449919408502773,1.21368133086876,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-27,9,NK,1,2,FALSE,TRUE,TRUE,1,Tfall,27,2018-06-25,270,185,7.3692,540,5.21439979050264,0.0184636816,0.0171413,0.050681399999999995,0.0678227,NA,NA,NA,NA,NA,1.22863685323475,1.14064103512015,3.3725146025878,4.51315563770795,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-28,10,NK,2,1,FALSE,TRUE,TRUE,1,Tfall,28,2018-06-25,60,215,6.0462,640,5.21439979050264,0.01813037902,0.0231033,0.06670205,0.08980535,NA,NA,NA,NA,NA,1.42987585616759,1.82207171903882,5.26054368453481,7.08261540357363,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-29,10,NK,2,1,FALSE,TRUE,TRUE,1,Tfall,29,2018-06-25,60,220,8.7211,280,5.21439979050264,0.01829703031,0.01647885,0.0441338,0.060612650000000004,NA,NA,NA,NA,NA,0.631320824004929,0.568586321626617,1.52279285274184,2.0913791743684498,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-3,1,P,1,1,TRUE,FALSE,FALSE,1,Tfall,3,2018-06-25,215,15,7.0053,450,5.21439979050264,0.14261959582,0.12591505,0.17188114999999998,0.2977962,NA,NA,NA,NA,NA,7.9086652025878,6.98235027726432,9.5313022181146,16.5136524953789,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-30,10,NK,2,1,FALSE,TRUE,TRUE,1,Tfall,30,2018-06-25,45,225,5.2459,540,5.21439979050264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
1-31,11,N,2,2,FALSE,TRUE,FALSE,1,Tfall,31,2018-06-25,120,225,8.2999,510,5.21439979050264,0.0151306558,0.0228383,0.07088135,0.09371965,NA,NA,NA,NA,NA,0.950909976340111,1.43530905730129,4.45465046210721,5.8899595194085,NA,NA,NA,NA,NA,0.701392541202715,0.81436459367628,3.47349215079723,NA
