"Plot","Treatment","Replicate","Block","N","P","K","NO3_ppm","NH4_ppm","N_ppm","PO4_ppm","K_ppm","Ca_ppm","Mg_ppm","Na_ppm","NO3.dep","NH4.dep","N.dep","PO4.dep","K.dep","Ca.dep","Mg.dep","Na.dep"
"30","P",4,1,"FALSE","TRUE","FALSE",0.143923270833333,0.34031429375,0.484237564583333,0.43750409222,2.66222222222222,1.81,0.883333333333333,11.15,1.61067039914578,3.39736880388787,5.00803920303366,7.30996129688953,24.1565680385445,14.4376830748117,7.01766232651547,87.735628695708
"32","K",4,1,"FALSE","FALSE","TRUE",0.285850391666667,0.320381497916667,0.606231889583333,0.108974768535208,5.45722222222222,2.29666666666667,0.976666666666667,13.2066666666667,3.18966234222285,3.12605971526762,6.31572205749047,0.945154808946867,51.0522593148742,23.4497786571061,9.96189722980905,133.949327388233
"33","PK",4,2,"FALSE","TRUE","TRUE",0.148149529166667,0.450293710416667,0.598443239583333,0.532796788869583,4.85388888888889,2.675,1.525,11.685,2.38111553280162,3.51254148836237,5.89365702116398,6.4050735784495,33.3572156236101,26.8894634301426,15.8169346034549,126.170888362518
"34","NK",4,2,"TRUE","FALSE","TRUE",0.179909258333333,0.27670836875,0.456617627083333,0.0998906862145833,2.71611111111111,1.29333333333333,0.563333333333333,10.32,1.93187575663897,2.59244280002264,4.52431855666161,0.956267020726631,25.542980167087,10.9312341557769,4.76097638731788,88.7353129607661
"35","NP",4,2,"TRUE","TRUE","FALSE",0.156239460416667,0.26770329375,0.423942754166667,0.335854566233333,3.58204311111111,1.025,0.75,10.535,1.95266036096693,2.67636246840461,4.62902282937154,3.92326094870083,45.3864088354402,7.37730019036059,6.22957302213517,88.6740052050285
"36","C",4,2,"FALSE","FALSE","FALSE",0.180080716666667,0.636022814583333,0.81610353125,0.143736431615833,5.66,3.11,1.43,14.165,1.68917420337687,3.69922707175054,5.38840127512742,1.01362043287411,40.225713260999,16.7325374710814,8.23141356854492,85.3477332114186
"4","N",1,1,"TRUE","FALSE","FALSE",0.0862493458333333,0.14287253125,0.229121877083333,0.143943690973333,1.9375,1.015,0.415,9.455,0.899944081176832,1.36374388863216,2.263687969809,1.91718385352832,17.3844731977819,13.3025261860752,5.47443006777572,124.913739987677
"5","NPK",1,1,"TRUE","TRUE","TRUE",0.1535219875,0.129693041666667,0.283215029166667,0.286514103958333,1.78317825,1.67,0.883333333333333,10.44,1.75031839186691,1.82415576607106,3.57447415793797,2.78599708861368,29.1370406654344,29.2873279934278,15.5555555555556,168.66707742863
"6","C",1,2,"FALSE","FALSE","FALSE",0.089027,0.120346035416667,0.209373035416667,0.123899595733333,3.52777777777778,1.6,0.755,11.965,1.20715695214623,1.71769646487985,2.92485341702608,2.12527601902111,49.7182857534059,22.0425138632163,11.3493530499076,132.353666050524
"7","PK",1,2,"FALSE","TRUE","TRUE",0.119697789583333,0.193724975,0.313422764583333,0.331352491009583,3.96666666666667,1.405,0.78,9.17,1.46139635448757,2.00715640275211,3.46855275723968,4.49537771042334,45.0708564386938,12.1195317313617,6.72828096118299,79.1004313000616
"9","NK",2,1,"TRUE","FALSE","TRUE",0.118967204166667,0.12957689375,0.248544097916667,0.059383917515,3.80444444444444,1.66666666666667,0.58,12.2033333333333,1.45838158759499,1.46105150826658,2.91943309586157,0.7739022652023,35.4145272814404,16.3832409118916,5.70959129184637,113.809817210926
"Rain 1","Rain",NA,NA,"Rain","Rain","Rain",0.195327029166667,0.0428174916666667,0.238144520833333,0.0194939656329167,0.4356915,0.946666666666667,0.42,9.51,2.60199524286301,0.528165539638529,3.13016078250154,0.343289026944958,6.02831492891536,8.8354898336414,3.95563770794824,89.2873279934278
"Rain 2","Rain",NA,NA,"Rain","Rain","Rain",0.193405433333333,0.0926493979166667,0.28605483125,0.0299432899458333,0.432035166666667,0.773333333333333,0.366666666666667,8.62666666666667,2.88089626720066,1.36566948937153,4.24656575657219,0.488153241325991,5.33534822345451,9.69808995686999,4.59437256110084,107.946190182789
"Rain 3","Rain",NA,NA,"Rain","Rain","Rain",0.2078411875,0.0852680291666667,0.293109216666667,0.0323724786070833,1.40741955555556,0.773333333333333,0.393333333333333,9.76666666666667,2.94996485058588,1.10622903363431,4.05619388422019,0.460977472204634,16.8246731704464,8.21940819623386,4.20644773667093,104.015106231014
