Plot	Species	Month	Parameter	Value																					
22	Litter_Trap	April	Total_Mg	5.066840148																					
23	Litter_Trap	April	Total_Mg	3.334713489																					
24	Litter_Trap	April	Total_Mg	3.265319383																					
25	Litter_Trap	April	Total_Mg	4.49577915																					
26	Litter_Trap	April	Total_Mg	3.016883109																					
27	Litter_Trap	April	Total_Mg	3.600971736																					
28	Litter_Trap	April	Total_Mg	2.593761421																					
29	Litter_Trap	April	Total_Mg	3.771768658																					
30	Litter_Trap	April	Total_Mg	3.487778649																					
31	Litter_Trap	April	Total_Mg	3.544117783																					
32	Litter_Trap	April	Total_Mg	3.420154221																					
33	Litter_Trap	April	Total_Mg	4.289820851																					
34	Litter_Trap	April	Total_Mg	3.179381375																					
35	Litter_Trap	April	Total_Mg	4.187390679																					
36	Litter_Trap	April	Total_Mg	3.151994327																					
1	Litter_Trap	April	Total_Mn	0.458334749																					
2	Litter_Trap	April	Total_Mn	0.430544273																					
3	Litter_Trap	April	Total_Mn	0.458625685																					
4	Litter_Trap	April	Total_Mn	0.320753952																					
5	Litter_Trap	April	Total_Mn	0.394240598																					
6	Litter_Trap	April	Total_Mn	0.162069266																					
7	Litter_Trap	April	Total_Mn	0.329685915																					
8	Litter_Trap	April	Total_Mn	0.16521693																					
9	Litter_Trap	April	Total_Mn	0.450516666																					
10	Litter_Trap	April	Total_Mn	0.221586377																					
11	Litter_Trap	April	Total_Mn	0.356722912																					
12	Litter_Trap	April	Total_Mn	0.230107626																					
13	Litter_Trap	April	Total_Mn	0.285819093																					
14	Litter_Trap	April	Total_Mn	0.301799847																					
15	Litter_Trap	April	Total_Mn	0.388770629																					
16	Litter_Trap	April	Total_Mn	0.150665915																					
17	Litter_Trap	April	Total_Mn	0.406968657																					
18	Litter_Trap	April	Total_Mn	0.124707896																					
19	Litter_Trap	April	Total_Mn	0.35800368																					
20	Litter_Trap	April	Total_Mn	0.422379433																					
21	Litter_Trap	April	Total_Mn	0.211298969																					
22	Litter_Trap	April	Total_Mn	0.130207615																					
23	Litter_Trap	April	Total_Mn	0.308544254																					
24	Litter_Trap	April	Total_Mn	0.3339729																					
25	Litter_Trap	April	Total_Mn	0.172187092																					
26	Litter_Trap	April	Total_Mn	0.38572463																					
27	Litter_Trap	April	Total_Mn	0.521430415																					
28	Litter_Trap	April	Total_Mn	0.461412983																					
29	Litter_Trap	April	Total_Mn	0.456719553																					
30	Litter_Trap	April	Total_Mn	0.249653044																					
31	Litter_Trap	April	Total_Mn	0.174416427																					
32	Litter_Trap	April	Total_Mn	0.225941179																					
33	Litter_Trap	April	Total_Mn	0.118647773																					
34	Litter_Trap	April	Total_Mn	0.491672399																					
35	Litter_Trap	April	Total_Mn	0.266304845																					
36	Litter_Trap	April	Total_Mn	0.267892324																					
1	Litter_Trap	April	Total_Na	1.645477324																					
2	Litter_Trap	April	Total_Na	0.771973394																					
3	Litter_Trap	April	Total_Na	0.692016154																					
4	Litter_Trap	April	Total_Na	1.244971049																					
5	Litter_Trap	April	Total_Na	1.160529132																					
6	Litter_Trap	April	Total_Na	1.217298727																					
7	Litter_Trap	April	Total_Na	1.327157698																					
8	Litter_Trap	April	Total_Na	0.930543494																					
9	Litter_Trap	April	Total_Na	1.435091248																					
10	Litter_Trap	April	Total_Na	0.71184627																					
11	Litter_Trap	April	Total_Na	0.926420782																					
12	Litter_Trap	April	Total_Na	0.762851907																					
13	Litter_Trap	April	Total_Na	0.989072611																					
14	Litter_Trap	April	Total_Na	1.397788742																					
15	Litter_Trap	April	Total_Na	0.983164405																					
16	Litter_Trap	April	Total_Na	1.082928391																					
17	Litter_Trap	April	Total_Na	1.078482261																					
18	Litter_Trap	April	Total_Na	0.540090575																					
19	Litter_Trap	April	Total_Na	0.865050903																					
20	Litter_Trap	April	Total_Na	0.743321902																					
21	Litter_Trap	April	Total_Na	1.835312537																					
22	Litter_Trap	April	Total_Na	1.71640494																					
23	Litter_Trap	April	Total_Na	1.098690741																					
24	Litter_Trap	April	Total_Na	1.457647775																					
25	Litter_Trap	April	Total_Na	1.21254719																					
26	Litter_Trap	April	Total_Na	1.423703561																					
27	Litter_Trap	April	Total_Na	0.97068995																					
28	Litter_Trap	April	Total_Na	1.614422924																					
29	Litter_Trap	April	Total_Na	1.390276887																					
30	Litter_Trap	April	Total_Na	1.929331344																					
31	Litter_Trap	April	Total_Na	1.682175555																					
32	Litter_Trap	April	Total_Na	0.946718835																					
33	Litter_Trap	April	Total_Na	1.512471775																					
34	Litter_Trap	April	Total_Na	0.963093765																					
35	Litter_Trap	April	Total_Na	0.96764861																					
36	Litter_Trap	April	Total_Na	1.107553709																					
1	Litter_Trap	April	Total_P	1.427495657																					
2	Litter_Trap	April	Total_P	0.44887274																					
3	Litter_Trap	April	Total_P	0.869508011																					
4	Litter_Trap	April	Total_P	0.593124242																					
5	Litter_Trap	April	Total_P	0.682091681																					
6	Litter_Trap	April	Total_P	0.530403146																					
7	Litter_Trap	April	Total_P	1.63516337																					
8	Litter_Trap	April	Total_P	0.309966619																					
9	Litter_Trap	April	Total_P	0.46916612																					
10	Litter_Trap	April	Total_P	0.676720182																					
11	Litter_Trap	April	Total_P	0.436236928																					
12	Litter_Trap	April	Total_P	0.455807189																					
13	Litter_Trap	April	Total_P	1.272680847																					
14	Litter_Trap	April	Total_P	0.998380951																					
15	Litter_Trap	April	Total_P	0.863593972																					
16	Litter_Trap	April	Total_P	0.449489837																					
17	Litter_Trap	April	Total_P	0.707152712																					
18	Litter_Trap	April	Total_P	0.581025223																					
19	Litter_Trap	April	Total_P	0.510778082																					
20	Litter_Trap	April	Total_P	0.67763165																					
21	Litter_Trap	April	Total_P	0.906209101																					
22	Litter_Trap	April	Total_P	0.702715305																					
23	Litter_Trap	April	Total_P	0.494715702																					
24	Litter_Trap	April	Total_P	0.765574285																					
25	Litter_Trap	April	Total_P	0.457510431																					
26	Litter_Trap	April	Total_P	0.459105794																					
27	Litter_Trap	April	Total_P	0.639504838																					
28	Litter_Trap	April	Total_P	0.467841138																					
29	Litter_Trap	April	Total_P	0.702720937																					
30	Litter_Trap	April	Total_P	0.850482166																					
31	Litter_Trap	April	Total_P	0.457476877																					
32	Litter_Trap	April	Total_P	0.514354956																					
33	Litter_Trap	April	Total_P	1.11877596																					
34	Litter_Trap	April	Total_P	0.450331291																					
35	Litter_Trap	April	Total_P	1.01056418																					
36	Litter_Trap	April	Total_P	0.454521273																					
1	Litter_Trap	April	Total_Zn	0.030853535																					
2	Litter_Trap	April	Total_Zn	0.024202857																					
3	Litter_Trap	April	Total_Zn	0.027158651																					
4	Litter_Trap	April	Total_Zn	0.040228797																					
5	Litter_Trap	April	Total_Zn	0.023792937																					
6	Litter_Trap	April	Total_Zn	0.041930579																					
7	Litter_Trap	April	Total_Zn	0.030468927																					
8	Litter_Trap	April	Total_Zn	0.01789515																					
9	Litter_Trap	April	Total_Zn	0.026655477																					
10	Litter_Trap	April	Total_Zn	0.028944983																					
11	Litter_Trap	April	Total_Zn	0.021028918																					
12	Litter_Trap	April	Total_Zn	0.025263275																					
13	Litter_Trap	April	Total_Zn	0.02820554																					
14	Litter_Trap	April	Total_Zn	0.035644158																					
15	Litter_Trap	April	Total_Zn	0.025782423																					
16	Litter_Trap	April	Total_Zn	0.03472974																					
17	Litter_Trap	April	Total_Zn	0.026555891																					
18	Litter_Trap	April	Total_Zn	0.035671896																					
19	Litter_Trap	April	Total_Zn	0.029567349																					
20	Litter_Trap	April	Total_Zn	0.029907763																					
21	Litter_Trap	April	Total_Zn	0.025561147																					
22	Litter_Trap	April	Total_Zn	0.013426891																					
23	Litter_Trap	April	Total_Zn	0.025370562																					
24	Litter_Trap	April	Total_Zn	0.034330576																					
25	Litter_Trap	April	Total_Zn	0.017339713																					
26	Litter_Trap	April	Total_Zn	0.025935174																					
27	Litter_Trap	April	Total_Zn	0.034865821																					
28	Litter_Trap	April	Total_Zn	0.021281072																					
29	Litter_Trap	April	Total_Zn	0.019792344																					
30	Litter_Trap	April	Total_Zn	0.027106384																					
31	Litter_Trap	April	Total_Zn	0.021760778																					
32	Litter_Trap	April	Total_Zn	0.019358452																					
33	Litter_Trap	April	Total_Zn	0.016631088																					
34	Litter_Trap	April	Total_Zn	0.016127753																					
35	Litter_Trap	April	Total_Zn	0.020793782																					
36	Litter_Trap	April	Total_Zn	0.022082143																					
1	Litter_Trap	November	Total_Al	0.458937836																					
2	Litter_Trap	November	Total_Al	0.113995221																					
3	Litter_Trap	November	Total_Al	0.117371736																					
4	Litter_Trap	November	Total_Al	0.201154087																					
5	Litter_Trap	November	Total_Al	1.400956253																					
6	Litter_Trap	November	Total_Al	0.143903787																					
7	Litter_Trap	November	Total_Al	0.354315108																					
8	Litter_Trap	November	Total_Al	0.202895038																					
9	Litter_Trap	November	Total_Al	0.133926684																					
10	Litter_Trap	November	Total_Al	0.082421469																					
11	Litter_Trap	November	Total_Al	3.308510928																					
12	Litter_Trap	November	Total_Al	0.131501592																					
13	Litter_Trap	November	Total_Al	0.082642942																					
14	Litter_Trap	November	Total_Al	0.079195885																					
15	Litter_Trap	November	Total_Al	0.101391833																					
16	Litter_Trap	November	Total_Al	0.66158255																					
17	Litter_Trap	November	Total_Al	0.274112771																					
18	Litter_Trap	November	Total_Al	0.173955701																					
19	Litter_Trap	November	Total_Al	0.173938234																					
20	Litter_Trap	November	Total_Al	0.23383903																					
21	Litter_Trap	November	Total_Al	0.105067109																					
22	Litter_Trap	November	Total_Al	0.286562601																					
23	Litter_Trap	November	Total_Al	0.227462063																					
24	Litter_Trap	November	Total_Al	0.110571709																					
25	Litter_Trap	November	Total_Al	0.187144705																					
26	Litter_Trap	November	Total_Al	0.363500377																					
27	Litter_Trap	November	Total_Al	0.224096205																					
28	Litter_Trap	November	Total_Al	0.072059102																					
29	Litter_Trap	November	Total_Al	0.132571114																					
30	Litter_Trap	November	Total_Al	0.17487153																					
31	Litter_Trap	November	Total_Al	0.071391658																					
32	Litter_Trap	November	Total_Al	0.071147441																					
33	Litter_Trap	November	Total_Al	0.193071241																					
34	Litter_Trap	November	Total_Al	0.114021196																					
35	Litter_Trap	November	Total_Al	0.528610232																					
36	Litter_Trap	November	Total_Al	0.198560206																					
1	Litter_Trap	November	Total_B	0.069877192																					
2	Litter_Trap	November	Total_B	0.066465764																					
3	Litter_Trap	November	Total_B	0.04227807																					
4	Litter_Trap	November	Total_B	0.058940546																					
5	Litter_Trap	November	Total_B	0.0592007																					
6	Litter_Trap	November	Total_B	0.054099131																					
7	Litter_Trap	November	Total_B	0.063206675																					
8	Litter_Trap	November	Total_B	0.07477751																					
9	Litter_Trap	November	Total_B	0.068275148																					
10	Litter_Trap	November	Total_B	0.058576011																					
11	Litter_Trap	November	Total_B	0.054157215																					
12	Litter_Trap	November	Total_B	0.062900696																					
13	Litter_Trap	November	Total_B	0.066348694																					
14	Litter_Trap	November	Total_B	0.052886795																					
15	Litter_Trap	November	Total_B	0.07232423																					
16	Litter_Trap	November	Total_B	0.050120845																					
17	Litter_Trap	November	Total_B	0.055000217																					
18	Litter_Trap	November	Total_B	0.056981957																					
19	Litter_Trap	November	Total_B	0.087635385																					
20	Litter_Trap	November	Total_B	0.062990481																					
21	Litter_Trap	November	Total_B	0.060987901																					
22	Litter_Trap	November	Total_B	0.046667393																					
23	Litter_Trap	November	Total_B	0.09199625																					
24	Litter_Trap	November	Total_B	0.080974386																					
25	Litter_Trap	November	Total_B	0.055351718																					
26	Litter_Trap	November	Total_B	0.063950116																					
27	Litter_Trap	November	Total_B	0.05129346																					
28	Litter_Trap	November	Total_B	0.067225466																					
29	Litter_Trap	November	Total_B	0.084080701																					
30	Litter_Trap	November	Total_B	0.07083206																					
31	Litter_Trap	November	Total_B	0.103432177																					
32	Litter_Trap	November	Total_B	0.10266624																					
33	Litter_Trap	November	Total_B	0.066884191																					
34	Litter_Trap	November	Total_B	0.09123277																					
35	Litter_Trap	November	Total_B	0.066653307																					
36	Litter_Trap	November	Total_B	0.080364167																					
1	Litter_Trap	November	Total_Ca	11.04457998																					
2	Litter_Trap	November	Total_Ca	8.729923198																					
3	Litter_Trap	November	Total_Ca	13.57633564																					
4	Litter_Trap	November	Total_Ca	9.439475091																					
5	Litter_Trap	November	Total_Ca	12.67446385																					
6	Litter_Trap	November	Total_Ca	12.3648096																					
7	Litter_Trap	November	Total_Ca	11.83343721																					
8	Litter_Trap	November	Total_Ca	16.99600298																					
9	Litter_Trap	November	Total_Ca	15.67645165																					
10	Litter_Trap	November	Total_Ca	9.438257726																					
11	Litter_Trap	November	Total_Ca	9.223882431																					
12	Litter_Trap	November	Total_Ca	12.66514225																					
13	Litter_Trap	November	Total_Ca	11.33058704																					
14	Litter_Trap	November	Total_Ca	17.18084889																					
15	Litter_Trap	November	Total_Ca	15.59297689																					
16	Litter_Trap	November	Total_Ca	11.34098348																					
17	Litter_Trap	November	Total_Ca	16.97806576																					
18	Litter_Trap	November	Total_Ca	12.04514242																					
19	Litter_Trap	November	Total_Ca	13.83433967																					
20	Litter_Trap	November	Total_Ca	13.42449683																					
21	Litter_Trap	November	Total_Ca	14.59975783																					
22	Litter_Trap	November	Total_Ca	16.50591441																					
23	Litter_Trap	November	Total_Ca	10.29647501																					
24	Litter_Trap	November	Total_Ca	11.36709523																					
25	Litter_Trap	November	Total_Ca	17.46736885																					
26	Litter_Trap	November	Total_Ca	17.11422798																					
27	Litter_Trap	November	Total_Ca	13.76558549																					
28	Litter_Trap	November	Total_Ca	8.487353014																					
29	Litter_Trap	November	Total_Ca	11.2633836																					
30	Litter_Trap	November	Total_Ca	16.1143462																					
31	Litter_Trap	November	Total_Ca	18.36808247																					
32	Litter_Trap	November	Total_Ca	18.30046991																					
33	Litter_Trap	November	Total_Ca	15.07104324																					
34	Litter_Trap	November	Total_Ca	10.7847787																					
35	Litter_Trap	November	Total_Ca	16.49162112																					
36	Litter_Trap	November	Total_Ca	10.75061348																					
1	Litter_Trap	November	Total_Cu	0.007698467																					
2	Litter_Trap	November	Total_Cu	0.012467494																					
3	Litter_Trap	November	Total_Cu	0.007957989																					
4	Litter_Trap	November	Total_Cu	0.007310447																					
5	Litter_Trap	November	Total_Cu	0.007906799																					
6	Litter_Trap	November	Total_Cu	0.012251404																					
7	Litter_Trap	November	Total_Cu	0.008513067																					
8	Litter_Trap	November	Total_Cu	0.007276521																					
9	Litter_Trap	November	Total_Cu	0.00672758																					
10	Litter_Trap	November	Total_Cu	0.011176717																					
11	Litter_Trap	November	Total_Cu	0.009423015																					
12	Litter_Trap	November	Total_Cu	0.009344744																					
13	Litter_Trap	November	Total_Cu	0.010702986																					
14	Litter_Trap	November	Total_Cu	0.009278287																					
15	Litter_Trap	November	Total_Cu	0.006274093																					
16	Litter_Trap	November	Total_Cu	0.01028392																					
17	Litter_Trap	November	Total_Cu	0.007525585																					
18	Litter_Trap	November	Total_Cu	0.008523676																					
19	Litter_Trap	November	Total_Cu	0.011146243																					
20	Litter_Trap	November	Total_Cu	0.007275155																					
21	Litter_Trap	November	Total_Cu	0.00635873																					
22	Litter_Trap	November	Total_Cu	0.008255788																					
23	Litter_Trap	November	Total_Cu	0.007866097																					
24	Litter_Trap	November	Total_Cu	0.006849135																					
25	Litter_Trap	November	Total_Cu	0.013470281																					
26	Litter_Trap	November	Total_Cu	0.015207048																					
27	Litter_Trap	November	Total_Cu	0.013893619																					
