"ID","PO4.conc","PO4.range","PO4.pct","NH4.conc","NH4.range","NH4.pct","NO3.conc","NO3.range","NO3.pct","Ca_ppm","P_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Zn_ppm","Cu_ppm","Mn_ppm","Mo_ppm","Collection","Bottle","Coord_x","Coord_y","Date_collected","Extra_volume","Volume_mL","Funnel_area","Water_cm","Collector","Photo_number","Notes","Notes.2","Notes.3","Plot","Treatment","Sample","X1.4m","Palm","Plants_above","Canopy","Date_placed","ID.full","Gap_Fraction.4.5","LAI.4.5","Gap_Fraction.2.25","LAI.2.25","Gap_Fraction.9","LAI.9","K_DL","P.dep","K.dep","Mg.dep","Ca.dep","Na.dep","P.fert","N.fert","K.fert","PO4.dep","NH4.dep","NO3.dep","N.conc","N.dep","DI.control","Treatment.DI","Type","Rain_cm","PO4.rain","NH4.rain","NO3.rain","PO4.dep.pct.of.rain","NH4.dep.pct.of.rain","NO3.dep.pct.of.rain","N.dep.pct.of.rain"
"4-13",123.98191871,0.665667599999981,0.536906999767451,158.21105,6.65929999999997,4.20912445748889,137.5121,0,0,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,4,"13",295,115,"2018-07-13","0",45,81.15,0.55452865064695,"Omar",1912,"","","","5","NPK",328,"","","","","","5NPK-1",0.0079077,10.755,0.003451,12.598,0.027855,7.9572,0.098139,NA,1.05360443622921,NA,NA,NA,"TRUE","TRUE","TRUE",0.687515260868762,0.877325600739371,0.762543992606285,295.72315,1.63986959334566,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,175.110106657467,67.6558312703589,23.989530697895,36.6418457116445
"4-14",104.51176645,0.998501399999993,0.955396156735798,143.161075,10.65485,7.4425607659065,181.985,3.43300000000002,1.88641921037449,NA,NA,NA,0.0490695,NA,NA,NA,NA,NA,NA,4,"14",265,115,"2018-07-13","130",180,81.15,2.2181146025878,"Omar",1910,"","","","5","NPK",329,"","","","","","5NPK-2",0.055863,6.4108,0.034813,7.4617,0.062801,6.1506,0.098139,NA,1.08841774491682,NA,NA,NA,"TRUE","TRUE","TRUE",2.31819075304991,3.17547670979667,4.03663585951941,325.146075,7.21211256931608,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,590.443082682948,244.880026639939,126.99201725685,161.150079916257
"4-16",658.8288811,6.65636347999998,1.01033267832556,303.250175,14.38405,4.74329487196504,34.83425,2.4967,7.16737119358102,NA,NA,NA,9.58,NA,NA,NA,NA,NA,NA,4,"16",60,125,"2018-07-13","20",170,81.15,2.09488601355514,"Omar",1919,"Near gap, no canopy","","","6","C",331,"","","","","","6C-1",0.066016,6.0397,0.045324,6.8754,0.10628,4.9815,0.098139,NA,200.690080098583,NA,NA,NA,"FALSE","FALSE","FALSE",13.8017140834258,6.3527455021565,0.729737831176833,338.084425,7.08248333333333,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,3515.29596906779,489.89825149889,22.9574533039049,158.253596876464
"4-17",89.36829733,1.9970028,2.23457630911988,206.82375,2.66370000000001,1.28790818269179,189.4751,16.5408,8.72980143565038,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4,"17",40,155,"2018-07-13","35",85,81.15,1.04744300677757,"Omar",1920,"","","","6","C",332,"","","","","","6C-2",0.037595,7.2909,0.033484,7.5482,0.046637,6.8119,0.098139,NA,46.0874922982132,NA,NA,NA,"FALSE","FALSE","FALSE",0.936081980659273,2.16636090573013,1.98464368453481,396.29885,4.15100459026494,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,238.420039238471,167.061063515369,62.4366214358385,92.7515641255969
"4-19",1479.45210075,86.5344440999999,5.8490872435905,401.8075,1.06539999999995,0.265151845099943,143.28575,7.8023,5.44527282022113,NA,NA,NA,10.12,NA,NA,NA,NA,NA,NA,4,"19",115,160,"2018-07-13","70",120,81.15,1.47874306839187,"Omar",1916,"","","","7","PK",334,"","","","","","7PK-1",0.012233,9.7859,0.012555,9.7281,0.0098364,10.27,0.098139,NA,149.648798521257,NA,NA,NA,"TRUE","FALSE","TRUE",21.8772953900185,5.94170055452865,2.1188280961183,545.09325,8.06052865064695,FALSE,"PK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,5572.14617211868,458.200113888627,66.6580448449441,180.107399008916
"4-2",370.271078645,1.33125706999998,0.359535796009694,245.447575,4.79464999999999,1.95343139976021,207.73245,1.24829999999997,0.600917189394325,NA,NA,NA,1.92,NA,NA,NA,NA,NA,NA,4,"2",195,15,"2018-07-13","20",70,81.15,0.862600123228589,"Omar",1804,"Sunny when photo taken","","","1","P",317,"","","","","","1P-2",0.018651,8.8486,0.028997,7.8679,0.018667,8.8466,0.098139,NA,16.5619223659889,NA,NA,NA,"TRUE","FALSE","FALSE",3.1939587806716,2.11723108441158,1.79190036968577,453.180025,3.90913145409735,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,813.501160739643,163.272368760914,56.3729428635615,87.3470623449627
"4-20",251.12036755,15.30988602,6.09663253099202,198.5663,7.45840000000001,3.7561257877092,147.81105,3.74510000000001,2.53370773024074,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,4,"20",125,165,"2018-07-13","50",100,81.15,1.23228589032656,"Omar",1918,"","","","7","PK",335,"","","","","","7PK-2",0.049417,6.6832,0.04514,6.8844,0.068961,5.9427,0.098139,NA,9.24214417744917,NA,NA,NA,"TRUE","FALSE","TRUE",3.09452085705484,2.4469044978435,1.82145471349353,346.37735,4.26835921133703,FALSE,"PK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,788.174325974805,188.695460045012,57.3027185157298,95.3737786823647
"4-22",71.89506974,0.332833800000002,0.462943844694296,79.0988,7.19200000000001,9.09242618092816,257.35485,1.87249999999995,0.727594603326864,NA,NA,NA,0.0490695,NA,NA,NA,NA,NA,NA,4,"22",90,105,"2018-07-13","55",105,81.15,1.29390018484288,"Omar",1589,"","","","Rain 2","Rain",337,"","","","","","R11",0.99367,0.014104,1,0,0.94365,0.12889,0.098139,NA,0.634910351201479,NA,NA,NA,"Rain","Rain","Rain",0.93025044025878,1.0234595194085,3.32991487985213,336.45365,4.35337439926063,FALSE,"Rain","Rain",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,236.934746155352,78.9250929173722,104.758670983112,97.2733891219287
"4-23",43.937929035,2.32975847,5.30238570904005,150.619475,0.532749999999993,0.353705920167357,226.61395,0.936299999999989,0.413169621728931,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,4,"23",95,110,"2018-07-13","55",105,81.15,1.29390018484288,"Omar",1588,"","","","Rain 2","Rain",338,"","","","","","R13",0.93452,0.15048,0.98692,0.029268,0.87994,0.28423,0.098139,NA,1.42329020332717,NA,NA,NA,"Rain","Rain","Rain",0.568512945,1.94886566543438,2.93215831792976,377.233425,4.88102398336414,FALSE,"Rain","Rain",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,144.800222047877,150.288702983368,92.2453034331131,109.063384331907
"4-25",89.53471423,13.64571702,15.2406998082849,130.641625,11.72035,8.97137493505611,175.119,9.6748,5.52470034662144,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,4,"25",280,170,"2018-07-13","45",95,81.15,1.17067159581023,"Omar",1906,"","","","9","NK",340,"","","","","","9NK-1",0.079603,5.6238,0.08429,5.4967,0.053363,6.5125,0.098139,NA,13.3456561922366,NA,NA,NA,"FALSE","TRUE","TRUE",1.04815746788047,1.52938439617991,2.05006839186691,305.760625,3.57945278804683,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,266.965660896661,117.939990088362,64.4948738647637,79.9806017039074
"4-26",24.714745705,49.42949141,200,119.8536,6.1266,5.11173631830833,180.26845,2.49669999999998,1.384989996863,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,4,"26",290,170,"2018-07-13","0",50,81.15,0.616142945163278,"Omar",1909,"","","","9","NK",341,"","","","","","9NK-2",0.015171,9.3074,0.012939,9.6612,0.032586,7.6086,0.098139,NA,0.677757239679606,NA,NA,NA,"FALSE","TRUE","TRUE",0.152278162076402,0.738469500924214,1.11071133703019,300.12205,1.84918083795441,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,38.7852411728382,56.947805821156,34.9428281837417,41.3187726830256
"4-30",50.76082661,1.33133520000001,2.62276107169959,27.822375,10.65485,38.2959758108357,205.54785,3.12090000000001,1.51833259262989,NA,NA,NA,0.0490695,NA,NA,NA,NA,NA,NA,4,"30",40,225,"2018-07-13","120",170,81.15,2.09488601355514,"Omar",1922,"Near gap","","","10","NK",345,"","","","","","10NK-3",0.27119,2.8999,0.42221,1.9161,0.16526,4.0005,0.098139,NA,1.02795009242144,NA,NA,NA,"FALSE","TRUE","TRUE",1.06338145701787,0.582847042513863,4.30599316081331,233.370225,4.88884020332717,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,270.843210259323,44.9468260489757,135.465961463016,109.238032808283
"4-31",53.42341888,1.33133520000001,2.49204417821042,136.3686,10.3885,7.61795603973348,234.57225,1.2483,0.5321601340312,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,4,"31",115,225,"2018-07-13","60",110,81.15,1.35551447935921,"Omar",1925,"","","","11","N",346,"","","","","","11N-1",0.006746,11.108,0.0096929,10.303,0.016321,9.1451,0.098139,NA,9.08194701170672,NA,NA,NA,"FALSE","TRUE","FALSE",0.724162178287123,1.84849611829945,3.17966081330869,370.94085,5.02815693160813,FALSE,"N","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,184.444074909586,142.548606102665,100.031698406084,112.350976717626
"4-32",208.18621369,1.99700280000003,0.959238733729829,831.86375,14.6505,1.76116581591636,458.4973,7.80219999999997,1.70168941016664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"32",130,235,"2018-07-13","0",40,81.15,0.492914356130622,"Omar",1926,"","","","11","N",347,"","","","","","11N-2",0.00075195,15.984,6.31e-05,21.49,0.0057027,11.482,NA,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE",1.02617973476278,4.10037584719655,2.25999901417129,1290.36105,6.36037486136784,FALSE,"N","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,261.36793323973,316.20453823437,71.099262801048,142.118541184109
"4-34",79.55001275,0.332833800000002,0.418395658899503,232.262225,0.266349999999989,0.114676418001243,139.22855,7.8023,5.60395120110064,NA,NA,NA,3.54,NA,NA,NA,NA,NA,NA,4,"34",315,265,"2018-07-13","90",140,81.15,1.72520024645718,"Omar",1901,"","","","12","C",349,"","","","","","12C-1",0.015687,9.2331,0.0080673,10.711,0.021594,8.523,0.098139,NA,61.0720887245841,NA,NA,NA,"FALSE","FALSE","FALSE",1.37239701601972,4.00698847812692,2.40197128773876,371.490775,6.40895976586568,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,349.549459524617,309.002878919707,75.5656912930697,143.204140052305
"4-35",93.528602635,1.66409086999999,1.77923204572423,253.7051,7.45840000000001,2.93979111968975,201.3346,3.43299999999999,1.70512172274412,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,4,"35",305,265,"2018-07-13","60",110,81.15,1.35551447935921,"Omar",1902,"","","","12","C",350,"","","","","","12C-2",0.12654,4.5937,0.13889,4.3869,0.10269,5.0578,0.098139,NA,27.9235982747998,NA,NA,NA,"FALSE","FALSE","FALSE",1.26779375105977,3.43900936537277,2.72911965495995,455.0397,6.16812902033272,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,322.907012547207,265.202607976743,85.8577346037712,137.822929829097
"4-36",56.252388985,0.998423270000002,1.77489932074927,111.196525,3.72924999999999,3.35374689092127,212.88195,7.1781,3.37186877515919,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,4,"36",310,250,"2018-07-13","90",140,81.15,1.72520024645718,"Omar",1904,"","","","12","C",351,"","","","","","12C-3",0.080552,5.5974,0.041883,7.0508,0.090278,5.3441,0.098139,NA,5.34812076401725,NA,NA,NA,"FALSE","FALSE","FALSE",0.97046635340727,1.91836272335182,3.67263992606285,324.078475,5.59100264941466,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,247.177737462717,147.936438440935,115.540754504494,124.927407206376
"4-37",1995.32808345,13.3125707000002,0.667187056124736,169.93135,2.93010000000001,1.72428454196357,58.8652,2.4968,4.24155528223806,NA,NA,NA,8.26,NA,NA,NA,NA,NA,NA,4,"37",190,290,"2018-07-13","60",110,81.15,1.35551447935921,"Omar",1930,"","","","13","PK",352,"","","","","","13PK-1",0.013199,9.617,0.01433,9.4342,0.014879,9.3507,0.098139,NA,111.965495995071,NA,NA,NA,"TRUE","FALSE","TRUE",27.0469610818854,2.30344405422058,0.797926309303759,228.79655,3.10137036352434,FALSE,"PK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,6888.85979610769,177.632366069932,25.1026535875995,69.2981532288051
"4-38",98.687370275,3.32825987,3.37252868399021,228.799375,9.85575,4.30759480877078,85.705,1.2484,1.45662446765067,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,4,"38",205,275,"2018-07-13","35",85,81.15,1.04744300677757,"Omar",1928,"","","","13","PK",353,"","","","","","13PK-2",0.029241,7.8493,0.02981,7.8065,0.028263,7.9249,0.098139,NA,10.6839186691312,NA,NA,NA,"TRUE","FALSE","TRUE",1.03369395851818,2.39654305298829,0.897711028958718,314.504375,3.29425408194701,FALSE,"PK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,263.281805699219,184.8117874236,28.2418673491057,73.6080175493652
"4-39",244.46392594,0,0,116.257575,1.59825000000001,1.37474912925029,64.0147,3.433,5.36283072481789,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,4,"39",180,275,"2018-07-13","80",130,81.15,1.60197165742452,"Omar",1929,"Holes in bag after collection; bottle emptied and bag replaced in such a way that water most likely will not re-enter (collection accurate b/c it didn't rain between putting on the bag and collecting)","","","13","PK",354,"","","","","","13PK-3",0.0060717,11.342,0.0063129,11.256,0.0045027,12.007,0.098139,NA,38.9279112754159,NA,NA,NA,"TRUE","FALSE","TRUE",3.91624280618607,1.86241340110906,1.02549735058534,180.272275,2.88791075169439,FALSE,"PK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,997.466870220771,143.621851129045,32.2620077149818,64.5285336236371
"4-4",77.220293345,2.32975847,3.01702877453631,224.404275,4.79465000000002,2.13661259349895,160.7628,1.56040000000002,0.970622556959704,NA,NA,NA,2.44,NA,NA,NA,NA,NA,NA,4,"4",285,15,"2018-07-13","120",170,81.15,2.09488601355514,"Omar",1802,"Sunny when photo taken","","","2","K",319,"","","","","","2K-1",0.0053629,11.618,0.0018176,14.023,0.023432,8.3415,0.0845173333333333,NA,51.1152187307455,NA,NA,NA,"FALSE","FALSE","TRUE",1.61767712491066,4.70101377079482,3.36779741219963,385.167075,8.06881118299446,FALSE,"K","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,412.02229245428,362.523325671209,105.950450318437,180.29246693969
"4-40",124.64758631,1.99700279999999,1.60211910965802,177.256575,3.72924999999998,2.10387118221142,137.19995,6.24189999999999,4.54949145389629,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,4,"40",85,300,"2018-07-13","60",110,81.15,1.35551447935921,"Omar",1776,"","","","14","P",355,"","","","","","14P-1",0.028767,7.8856,0.014228,9.4502,0.037094,7.3206,0.098139,NA,12.1996303142329,NA,NA,NA,"TRUE","FALSE","FALSE",1.68961608060382,2.40273853974122,1.8597651879236,314.456525,4.26250372766482,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,430.345141300338,185.289558511142,58.5079608509947,95.2429416144937
"4-41",270.756975775,1.99692467000001,0.737533969082096,201.363175,2.39734999999999,1.19056028988418,185.7301,2.18459999999999,1.17622291701775,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,4,"41",60,295,"2018-07-13","50",100,81.15,1.23228589032656,"Omar",1774,"","","","14","P",356,"","","","","","14P-2",0.0043924,12.062,0.00031827,17.895,0.021826,8.4993,0.098139,NA,12.6925446703635,NA,NA,NA,"TRUE","FALSE","FALSE",3.33650000955022,2.48136999383857,2.2887258163894,387.093275,4.77009581022797,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,849.806405455928,191.353300850896,72.0030041069213,106.584764677257
"4-42",196.03817064,0.998501399999993,0.509340296708654,225.0702,0.79910000000001,0.355044781583706,127.3691,4.6814,3.67545974651622,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,4,"42",85,290,"2018-07-13","30",80,81.15,0.985828712261245,"Omar",1778,"","","","14","P",357,"","","","","","14P-3",0.03456,7.4779,0.035292,7.4314,0.030331,7.768,0.098139,NA,7.59088108441158,NA,NA,NA,"TRUE","FALSE","FALSE",1.93260057316081,2.21880665434381,1.25564115834874,352.4393,3.47444781269254,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,492.233280850869,171.105469282241,39.5023007273237,77.6343321459502
"4-43",541.675094675,1.33125706999998,0.245766712017418,947.46875,4.52849999999989,0.477957716283507,186.1982,0.624200000000002,0.335234175196109,NA,NA,NA,7.67,NA,NA,NA,NA,NA,NA,4,"43",260,325,"2018-07-13","40",90,81.15,1.1090573012939,"Omar",1740,"","","","15","NP",358,"","","","","","15NP-1",0.0035901,12.51,0.0017071,14.162,0.016977,9.0575,0.098139,NA,85.0646950092421,NA,NA,NA,"TRUE","TRUE","FALSE",6.00748718678373,10.5079713493531,2.06504473197782,1133.66695,12.5730160813309,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,1530.10672183737,810.332601723304,64.9660274956575,280.936067874907
"4-44",143.61848787,2.66251413999998,1.85387980300282,153.949125,2.39734999999999,1.5572352229998,117.6943,10.299,8.75063618204111,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,4,"44",265,350,"2018-07-13","170",220,81.15,2.71102895871842,"Omar",1738,"","","","15","NP",359,"","","","","","15NP-2",0.015453,9.2665,0.012776,9.6894,0.017996,8.928,0.098139,NA,6.77757239679606,NA,NA,NA,"TRUE","TRUE","FALSE",3.89353879622921,4.17360536044362,3.19072655576094,271.643425,7.36433191620456,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,991.684159884893,321.851704563586,100.379825164444,164.551324652819
"4-45",263.7676613,3.99384934000001,1.51415428271836,246.6463,5.59379999999999,2.26794401537748,305.26075,4.68130000000002,1.53354140681369,NA,NA,NA,1.31,NA,NA,NA,NA,NA,NA,4,"45",250,330,"2018-07-13","90",140,81.15,1.72520024645718,"Omar",1742,"","","","15","NP",360,"","","","","","15NP-3",0.035327,7.4291,0.032403,7.6211,0.031594,7.6773,0.098139,NA,22.600123228589,NA,NA,NA,"TRUE","TRUE","FALSE",4.55052034282193,4.25514257547751,5.26635921133703,551.90705,9.52150178681454,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,1159.0173308613,328.139527531409,165.678947302051,212.751916878836
"4-49",515.881256475,10.31745715,1.99996743834015,452.817525,3.46285,0.764734094600248,343.4919,0,0,NA,NA,NA,5.19,NA,NA,NA,NA,NA,NA,4,"49",160,370,"2018-07-13","",50,81.15,0.616142945163278,"Palani",1792,"","","","17","NPK",361,"","","","","","17NPK-1",0.012421,9.752,0.0070494,11.011,0.015308,9.2876,0.098139,NA,31.9778188539741,NA,NA,NA,"TRUE","TRUE","TRUE",3.17856596719039,2.79000323475046,2.1164011090573,796.309425,4.90640434380776,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,809.580611824049,215.153858424916,66.5816921608134,109.630492384434
"4-5",7.66017772,5.65801834,73.8627554975317,2.65025,1.8646,70.3556268276578,33.7419,0.936199999999999,2.77459182796464,NA,NA,NA,0.0490695,NA,NA,NA,NA,NA,NA,4,"5",285,35,"2018-07-13","DI WATER (cap, no funnel)",NA,NA,NA,"Omar",NA,"","","","2","K",320,"","","","","","2K-2",NA,NA,NA,NA,NA,NA,0.098139,NA,NA,NA,NA,NA,"FALSE","FALSE","TRUE",NA,NA,NA,36.39215,NA,TRUE,"DI","DI",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,NA,NA,NA,NA
"4-50",257.111180625,2.66259226999999,1.03558011889161,251.9737,19.9778,7.92852587393049,226.30185,28.4003,12.5497427440386,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,4,"50",150,370,"2018-07-13","",55,81.15,0.677757239679606,"Eva",1787,"","","","17","NPK",362,"","","","","","17NPK-2",0.0054304,11.591,0.0048925,11.822,0.013896,9.5025,0.098139,NA,9.55637707948244,NA,NA,NA,"TRUE","TRUE","TRUE",1.74258964071165,1.70776999383857,1.53377717190388,478.27555,3.24154716574245,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,443.837504726257,131.696371853679,48.2524220318873,72.4303149446332
